"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",1.53,"Ideal","I","VS2",62.1,55,9116,7.43,7.35,4.59
"2",0.41,"Ideal","J","VS2",61.8,55,637,4.78,4.81,2.96
"3",0.6,"Ideal","G","VVS2",61.2,56,2190,5.43,5.45,3.33
"4",0.73,"Ideal","D","VS2",61.4,56,3528,5.78,5.81,3.56
"5",0.4,"Ideal","E","VS2",62.3,56,912,4.72,4.75,2.95
"6",0.73,"Very Good","G","SI1",59.8,61,2330,5.83,5.85,3.49
"7",0.9,"Ideal","F","VS2",62.3,56,6830,6.17,6.19,3.85
"8",0.41,"Ideal","E","VVS1",61.9,58,1442,4.77,4.8,2.96
"9",0.51,"Premium","G","VS2",62.7,58,1546,5.12,5.09,3.2
"10",0.23,"Ideal","E","SI2",61.5,55,326,3.95,3.98,2.43
"11",0.56,"Ideal","G","SI1",62,57,1631,5.25,5.27,3.26
"12",0.38,"Ideal","F","VVS2",62,54.1,1010,4.66,4.68,2.9
"13",1.01,"Fair","F","SI2",66.7,64,3597,6.14,6.05,4.06
"14",1.2,"Premium","I","VS2",61.3,60,4131,6.79,6.75,4.15
"15",0.43,"Ideal","E","VVS1",61.3,57,1433,4.84,4.88,2.98
"16",1.05,"Premium","E","VVS2",59.6,60,9858,6.61,6.58,3.93
"17",1.02,"Premium","E","VS2",60.4,58,6397,6.51,6.47,3.92
"18",0.71,"Premium","G","SI2",62,59,1740,5.69,5.65,3.52
"19",0.71,"Premium","D","SI2",61.7,59,2768,5.71,5.67,3.51
"20",0.42,"Good","G","VVS1",63.6,55,1179,4.75,4.78,3.03
"21",1.03,"Premium","E","SI2",62,59,4885,6.42,6.49,4
"22",0.92,"Very Good","G","VVS2",62.3,57,5183,6.19,6.27,3.88
"23",1.41,"Ideal","H","VS1",60.7,56,9752,7.31,7.22,1.41
"24",0.34,"Very Good","F","SI1",60.9,60,551,4.52,4.55,2.76
"25",0.72,"Ideal","F","VVS1",61.7,56,3795,5.73,5.77,3.55
"26",1.1,"Ideal","G","SI2",62.1,58,5361,6.61,6.63,4.11
"27",1.21,"Good","E","SI1",63.6,58,6861,6.65,6.77,4.27
